# decaysolver — bibliothèque de nucléides
# source: ICRP Publication 107, Nuclear Decay Data for Dosimetric Calculations (2008),
#         Copyright (c) 2008 A. Endo and K.F. Eckerman ; licence : data/LICENSE.ICRP-07
# extraction: paquet radioactivedecay 0.6.1, jeu 'icrp107_ame2020_nubase2020'
# script: data/scripts/extract_icrp107.py ; date UTC: 2026-09-05
# contenu: 35 nucléides de base (liste standard de déclaration des déchets)
#          + fermeture complète de leurs descendants = 139 nucléides
# demi-vies: valeur et unité d'origine ICRP-107 (s, m, h, d, y) ; aucune conversion ici.
#            decaysolver convertit avec 1 y = 365,25 j (année julienne) ;
#            radioactivedecay utilise 365,2422 j : écart relatif 2e-5, à garder en tête
#            lors de l'évaluation croisée.
# incertitudes: ICRP-107 n'en fournit pas ; voir data/PROVENANCE.md.
# fission spontanée (SF): voie conservée avec fille vide, produits de fission non suivis.
# voies rétablies (absentes du jeu radioactivedecay, voir le script) : At-219 β- vers Rn-219, At-217 β- vers Rn-217
# écarts |somme des rapports - 1| > 1e-5, dus aux arrondis indépendants d'ICRP-107 :
#     Fr-223: +6.0e-05
# une ligne par voie de décroissance ; les stables ont une seule ligne 'stable'.
nuclide;half_life_value;half_life_unit;mode;daughter;branching_fraction
Ac-225;10;d;alpha;Fr-221;1
Ac-227;21.772;y;beta-;Th-227;0.9862
Ac-227;21.772;y;alpha;Fr-223;0.0138
Ac-228;6.15;h;beta-;Th-228;1
Ag-107;stable;;stable;;
Ag-108;2.37;m;beta-;Cd-108;0.9715
Ag-108;2.37;m;beta+/EC;Pd-108;0.0285
Ag-108m;418;y;beta+/EC;Pd-108;0.913
Ag-108m;418;y;IT;Ag-108;0.087
Ag-110;24.6;s;beta-;Cd-110;0.997
Ag-110;24.6;s;beta+/EC;Pd-110;0.003
Ag-110m;249.76;d;beta-;Cd-110;0.9864
Ag-110m;249.76;d;IT;Ag-110;0.0136
Am-241;432.2;y;alpha;Np-237;1
Ar-36;stable;;stable;;
At-217;0.0323;s;alpha;Bi-213;0.99988
At-217;0.0323;s;beta-;Rn-217;0.00012
At-218;1.5;s;alpha;Bi-214;0.999
At-218;1.5;s;beta-;Rn-218;0.001
At-219;56;s;alpha;Bi-215;0.97
At-219;56;s;beta-;Rn-219;0.03
B-10;stable;;stable;;
Ba-134;stable;;stable;;
Ba-135;stable;;stable;;
Ba-137;stable;;stable;;
Ba-137m;2.552;m;IT;Ba-137;1
Be-10;1510000;y;beta-;B-10;1
Bi-209;stable;;stable;;
Bi-210;5.013;d;beta-;Po-210;1
Bi-210;5.013;d;alpha;Tl-206;1.32e-06
Bi-211;2.14;m;alpha;Tl-207;0.99724
Bi-211;2.14;m;beta-;Po-211;0.00276
Bi-212;60.55;m;beta-;Po-212;0.6406
Bi-212;60.55;m;alpha;Tl-208;0.3594
Bi-213;45.59;m;beta-;Po-213;0.9791
Bi-213;45.59;m;alpha;Tl-209;0.0209
Bi-214;19.9;m;beta-;Po-214;0.99979
Bi-214;19.9;m;alpha;Tl-210;0.00021
Bi-215;7.6;m;beta-;Po-215;1
Br-79;stable;;stable;;
C-14;5700;y;beta-;N-14;1
Ca-41;102000;y;beta+/EC;K-41;1
Cd-108;stable;;stable;;
Cd-110;stable;;stable;;
Cl-36;301000;y;beta-;Ar-36;0.981
Cl-36;301000;y;beta+/EC;S-36;0.019
Cm-244;18.1;y;alpha;Pu-240;1
Cm-244;18.1;y;SF;;1.371e-06
Co-59;stable;;stable;;
Co-60;5.2713;y;beta-;Ni-60;1
Cr-54;stable;;stable;;
Cs-134;2.0648;y;beta-;Ba-134;1
Cs-134;2.0648;y;beta+/EC;Xe-134;3e-06
Cs-135;2300000;y;beta-;Ba-135;1
Cs-137;30.1671;y;beta-;Ba-137m;0.94399
Cs-137;30.1671;y;beta-;Ba-137;0.056005
Cu-63;stable;;stable;;
Cu-65;stable;;stable;;
Eu-151;stable;;stable;;
Fe-54;stable;;stable;;
Fe-55;2.737;y;beta+/EC;Mn-55;1
Fr-221;4.9;m;alpha;At-217;1
Fr-223;22;m;beta-;Ra-223;1
Fr-223;22;m;alpha;At-219;6e-05
Hg-206;8.15;m;beta-;Tl-206;1
I-129;15700000;y;beta-;Xe-129;1
K-41;stable;;stable;;
Mn-54;312.12;d;beta+/EC;Cr-54;1
Mn-54;312.12;d;beta-;Fe-54;2.9e-06
Mn-55;stable;;stable;;
Mo-93;4000;y;beta+/EC;Nb-93m;0.88
Mo-93;4000;y;beta+/EC;Nb-93;0.12
Mo-94;stable;;stable;;
N-14;stable;;stable;;
Nb-93;stable;;stable;;
