# decaysolver — bibliothèque de nucléides
# source: ICRP Publication 107, Nuclear Decay Data for Dosimetric Calculations (2008),
#         Copyright (c) 2008 A. Endo and K.F. Eckerman ; licence : data/LICENSE.ICRP-07
# extraction: paquet radioactivedecay 0.6.1, jeu 'icrp107_ame2020_nubase2020'
# script: data/scripts/extract_icrp107.py ; date UTC: 2026-09-05
# contenu: bibliothèque complète, 1512 nucléides du jeu ICRP-107 redistribué
#          (--full)
# demi-vies: valeur et unité d'origine ICRP-107 (s, m, h, d, y) ; aucune conversion ici.
#            decaysolver convertit avec 1 y = 365,25 j (année julienne) ;
#            radioactivedecay utilise 365,2422 j : écart relatif 2e-5, à garder en tête
#            lors de l'évaluation croisée.
# incertitudes: ICRP-107 n'en fournit pas ; voir data/PROVENANCE.md.
# fission spontanée (SF): voie conservée avec fille vide, produits de fission non suivis.
# voies rétablies (absentes du jeu radioactivedecay, voir le script) : At-219 β- vers Rn-219, At-217 β- vers Rn-217
# écarts |somme des rapports - 1| > 1e-5, dus aux arrondis indépendants d'ICRP-107 :
#     Am-244m: -4.0e-04
#     Np-236: -4.0e-04
#     Tb-151: +9.5e-05
#     Dy-153: +9.4e-05
#     Ac-226: +6.0e-05
#     Fr-223: +6.0e-05
#     Es-255: +4.5e-05
#     Pu-237: +4.2e-05
#     U-231: +4.0e-05
#     Pa-230: +3.2e-05
#     Ag-115: -3.0e-05
#     Au-187: +3.0e-05
#     Pa-232: +3.0e-05
#     Hf-182m: -2.0e-05
#     Pt-184: +1.7e-05
#     Bk-249: +1.5e-05
#     Ho-154m: +1.0e-05
#     Np-233: +1.0e-05
# voies non répertoriées (déficit de somme > 5e-4 dans le jeu redistribué, fille
#   inconnue, noyaux sortant du système) : 
#     U-228: 2.5e-02
#     Es-254m: 1.6e-02
#     Es-250: 1.5e-02
#     Ac-223: 1.0e-02
#     Cm-240: 3.0e-03
#     Po-212m: 7.0e-04
#     Po-205: 6.0e-04
# une ligne par voie de décroissance ; les stables ont une seule ligne 'stable'.
nuclide;half_life_value;half_life_unit;mode;daughter;branching_fraction
Ac-223;2.1;m;alpha;Fr-219;0.99
Ac-223;2.1;m;unlisted;;0.01
Ac-224;2.78;h;beta+/EC;Ra-224;0.909
Ac-224;2.78;h;alpha;Fr-220;0.091
Ac-225;10;d;alpha;Fr-221;1
Ac-226;29.37;h;beta-;Th-226;0.83
Ac-226;29.37;h;beta+/EC;Ra-226;0.17
Ac-226;29.37;h;alpha;Fr-222;6e-05
Ac-227;21.772;y;beta-;Th-227;0.9862
Ac-227;21.772;y;alpha;Fr-223;0.0138
Ac-228;6.15;h;beta-;Th-228;1
Ac-230;122;s;beta-;Th-230;1
Ac-231;7.5;m;beta-;Th-231;1
Ac-232;119;s;beta-;Th-232;1
Ac-233;145;s;beta-;Th-233;1
Ag-100m;2.24;m;beta+/EC;Pd-100;1
Ag-101;11.1;m;beta+/EC;Pd-101;1
Ag-102;12.9;m;beta+/EC;Pd-102;1
Ag-102m;7.7;m;beta+/EC;Pd-102;0.51
Ag-102m;7.7;m;IT;Ag-102;0.49
Ag-103;65.7;m;beta+/EC;Pd-103;1
Ag-104;69.2;m;beta+/EC;Pd-104;1
Ag-104m;33.5;m;beta+/EC;Pd-104;0.9993
Ag-104m;33.5;m;IT;Ag-104;0.0007
Ag-105;41.29;d;beta+/EC;Pd-105;1
Ag-105m;7.23;m;IT;Ag-105;0.9966
Ag-105m;7.23;m;beta+/EC;Pd-105;0.0034
Ag-106;23.96;m;beta+/EC;Pd-106;0.99
Ag-106;23.96;m;beta-;Cd-106;0.01
Ag-106m;8.28;d;beta+/EC;Pd-106;1
Ag-107;stable;;stable;;
Ag-108;2.37;m;beta-;Cd-108;0.9715
Ag-108;2.37;m;beta+/EC;Pd-108;0.0285
Ag-108m;418;y;beta+/EC;Pd-108;0.913
Ag-108m;418;y;IT;Ag-108;0.087
Ag-109;stable;;stable;;
Ag-109m;39.6;s;IT;Ag-109;1
Ag-110;24.6;s;beta-;Cd-110;0.997
Ag-110;24.6;s;beta+/EC;Pd-110;0.003
Ag-110m;249.76;d;beta-;Cd-110;0.9864
Ag-110m;249.76;d;IT;Ag-110;0.0136
Ag-111;7.45;d;beta-;Cd-111;1
Ag-111m;64.8;s;IT;Ag-111;0.993
Ag-111m;64.8;s;beta-;Cd-111;0.007
Ag-112;3.13;h;beta-;Cd-112;1
Ag-113;5.37;h;beta-;Cd-113;0.98261
Ag-113;5.37;h;beta-;Cd-113m;0.017388
Ag-113m;68.7;s;IT;Ag-113;0.64
Ag-113m;68.7;s;beta-;Cd-113;0.36
Ag-114;4.6;s;beta-;Cd-114;1
Ag-115;20;m;beta-;Cd-115;0.9421
Ag-115;20;m;beta-;Cd-115m;0.05787
Ag-116;2.68;m;beta-;Cd-116;1
Ag-117;73.6;s;beta-;Cd-117;0.84703
Ag-117;73.6;s;beta-;Cd-117m;0.15297
Ag-99;124;s;beta+/EC;Pd-99;1
Al-26;717000;y;beta+/EC;Mg-26;1
Al-27;stable;;stable;;
Al-28;2.2414;m;beta-;Si-28;1
Al-29;6.56;m;beta-;Si-29;1
Am-237;73;m;beta+/EC;Pu-237;0.99975
Am-237;73;m;alpha;Np-233;0.00025
Am-238;98;m;beta+/EC;Pu-238;1
Am-238;98;m;alpha;Np-234;1e-06
Am-239;11.9;h;beta+/EC;Pu-239;0.9999
Am-239;11.9;h;alpha;Np-235;0.0001
Am-240;50.8;h;beta+/EC;Pu-240;1
Am-240;50.8;h;alpha;Np-236;1.9e-06
Am-241;432.2;y;alpha;Np-237;1
Am-242;16.02;h;beta-;Cm-242;0.827
Am-242;16.02;h;beta+/EC;Pu-242;0.173
Am-242m;141;y;IT;Am-242;0.9955
Am-242m;141;y;alpha;Np-238;0.0045
Am-243;7370;y;alpha;Np-239;1
Am-244;10.1;h;beta-;Cm-244;1
Am-244m;26;m;beta-;Cm-244;0.9996
Am-245;2.05;h;beta-;Cm-245;1
Am-246;39;m;beta-;Cm-246;1
Am-246m;25;m;beta-;Cm-246;1
Am-247;23;m;beta-;Cm-247;1
Ar-36;stable;;stable;;
Ar-37;35.04;d;beta+/EC;Cl-37;1
Ar-38;stable;;stable;;
Ar-39;269;y;beta-;K-39;1
Ar-40;stable;;stable;;
Ar-41;109.61;m;beta-;K-41;1
Ar-42;32.9;y;beta-;K-42;1
Ar-43;5.37;m;beta-;K-43;1
Ar-44;11.87;m;beta-;K-44;1
As-68;151.6;s;beta+/EC;Ge-68;1
As-69;15.23;m;beta+/EC;Ge-69;1
As-70;52.6;m;beta+/EC;Ge-70;1
As-71;65.28;h;beta+/EC;Ge-71;1
As-72;26;h;beta+/EC;Ge-72;1
As-73;80.3;d;beta+/EC;Ge-73;1
As-74;17.77;d;beta+/EC;Ge-74;0.66
As-74;17.77;d;beta-;Se-74;0.34
As-75;stable;;stable;;
As-76;1.0778;d;beta-;Se-76;1
As-77;38.83;h;beta-;Se-77;1
As-78;90.7;m;beta-;Se-78;1
As-79;9.01;m;beta-;Se-79m;0.97188
As-79;9.01;m;beta-;Se-79;0.028121
At-204;9.2;m;beta+/EC;Po-204;0.962
At-204;9.2;m;alpha;Bi-200;0.038
At-205;26.2;m;beta+/EC;Po-205;0.9
At-205;26.2;m;alpha;Bi-201;0.1
At-206;30.6;m;beta+/EC;Po-206;0.9911
At-206;30.6;m;alpha;Bi-202;0.0089
At-207;1.8;h;beta+/EC;Po-207;0.914
At-207;1.8;h;alpha;Bi-203;0.086
At-208;1.63;h;beta+/EC;Po-208;0.9945
At-208;1.63;h;alpha;Bi-204;0.0055
At-209;5.41;h;beta+/EC;Po-209;0.959
At-209;5.41;h;alpha;Bi-205;0.041
At-210;8.1;h;beta+/EC;Po-210;0.99825
At-210;8.1;h;alpha;Bi-206;0.00175
At-211;7.214;h;beta+/EC;Po-211;0.582
At-211;7.214;h;alpha;Bi-207;0.418
At-215;0.0001;s;alpha;Bi-211;1
At-216;0.0003;s;alpha;Bi-212;1
At-217;0.0323;s;alpha;Bi-213;0.99988
At-217;0.0323;s;beta-;Rn-217;0.00012
At-218;1.5;s;alpha;Bi-214;0.999
At-218;1.5;s;beta-;Rn-218;0.001
At-219;56;s;alpha;Bi-215;0.97
At-219;56;s;beta-;Rn-219;0.03
At-220;3.71;m;beta-;Rn-220;0.92
At-220;3.71;m;alpha;Bi-216;0.08
Au-186;10.7;m;beta+/EC;Pt-186;1
Au-187;8.4;m;beta+/EC;Pt-187;1
Au-187;8.4;m;alpha;Ir-183;3e-05
Au-190;42.8;m;beta+/EC;Pt-190;1
Au-191;3.18;h;beta+/EC;Pt-191;1
Au-192;4.94;h;beta+/EC;Pt-192;1
Au-193;17.65;h;beta+/EC;Pt-193;1
Au-193m;3.9;s;IT;Au-193;0.9997
Au-193m;3.9;s;beta+/EC;Pt-193m;0.0003
Au-194;38.02;h;beta+/EC;Pt-194;1
Au-195;186.098;d;beta+/EC;Pt-195;1
Au-195m;30.5;s;IT;Au-195;1
Au-196;6.183;d;beta+/EC;Pt-196;0.928
Au-196;6.183;d;beta-;Hg-196;0.072
Au-196m;9.6;h;IT;Au-196;1
Au-197;stable;;stable;;
Au-198;2.69517;d;beta-;Hg-198;1
Au-198m;2.27;d;IT;Au-198;1
Au-199;3.139;d;beta-;Hg-199;1
Au-200;48.4;m;beta-;Hg-200;1
Au-200m;18.7;h;beta-;Hg-200;0.82
Au-200m;18.7;h;IT;Au-200;0.18
Au-201;26;m;beta-;Hg-201;1
Au-202;28.8;s;beta-;Hg-202;1
B-10;stable;;stable;;
B-11;stable;;stable;;
Ba-124;11;m;beta+/EC;Cs-124;1
Ba-126;100;m;beta+/EC;Cs-126;1
Ba-127;12.7;m;beta+/EC;Cs-127;1
Ba-128;2.43;d;beta+/EC;Cs-128;1
Ba-129;2.23;h;beta+/EC;Cs-129;1
Ba-129m;2.16;h;beta+/EC;Cs-129;1
Ba-130;stable;;stable;;
Ba-131;11.5;d;beta+/EC;Cs-131;1
Ba-131m;14.6;m;IT;Ba-131;1
Ba-132;stable;;stable;;
Ba-133;10.52;y;beta+/EC;Cs-133;1
Ba-133m;38.9;h;IT;Ba-133;0.9999
Ba-133m;38.9;h;beta+/EC;Cs-133;9.6e-05
Ba-134;stable;;stable;;
Ba-135;stable;;stable;;
Ba-135m;28.7;h;IT;Ba-135;1
Ba-136;stable;;stable;;
Ba-137;stable;;stable;;
Ba-137m;2.552;m;IT;Ba-137;1
Ba-138;stable;;stable;;
Ba-139;83.06;m;beta-;La-139;1
Ba-140;12.752;d;beta-;La-140;1
Ba-141;18.27;m;beta-;La-141;1
Ba-142;10.6;m;beta-;La-142;1
