# oracle mpmath, mp.dps = 50, valeurs à 20 chiffres significatifs
# généré par verification/scripts/ (voir le script nommé dans le cas)
case;t_s;nuclide;N
ra226_30j;2592000.0;Ra-226;0.99996441812891427095
ra226_30j;2592000.0;Pb-210;0.000028977203423166192572
ra226_30j;2592000.0;Rn-222;6.5139857769683649283e-6
ra226_30j;2592000.0;Pb-214;3.1700113413694617862e-8
ra226_30j;2592000.0;Bi-214;2.3542846843016256561e-8
ra226_30j;2592000.0;Po-210;1.8180023296346075081e-8
ra226_30j;2592000.0;Bi-210;1.2900294504519212426e-8
ra226_30j;2592000.0;Po-218;3.6676159004867447519e-9
ra226_30j;2592000.0;Pb-206;6.9068500992109583753e-10
ra226_30j;2592000.0;Tl-210;3.2297439760016786073e-13
ra226_30j;2592000.0;At-218;5.9155093997853959452e-15
ra226_30j;2592000.0;Po-214;3.2389264749592708934e-15
ra226_30j;2592000.0;Tl-206;1.010316745376164504e-17
ra226_30j;2592000.0;Hg-206;3.841649691439027868e-19
ra226_30j;2592000.0;Rn-218;1.3802855259788915733e-19
ra226_1a;31557600.0;Ra-226;0.99956687683707997478
ra226_1a;31557600.0;Pb-210;0.00042003175711410662624
ra226_1a;31557600.0;Rn-222;6.5398168353460732876e-6
ra226_1a;31557600.0;Po-210;3.7421259005564305216e-6
ra226_1a;31557600.0;Pb-206;2.4957899900987356606e-6
ra226_1a;31557600.0;Bi-210;2.5453521256639679713e-7
ra226_1a;31557600.0;Pb-214;3.1826577596711647051e-8
ra226_1a;31557600.0;Bi-214;2.3637144685567881287e-8
ra226_1a;31557600.0;Po-218;3.6821687997208209438e-9
ra226_1a;31557600.0;Tl-210;3.2426836729288930578e-13
ra226_1a;31557600.0;At-218;5.9389819352100149622e-15
ra226_1a;31557600.0;Po-214;3.2518995780170988425e-15
ra226_1a;31557600.0;Tl-206;1.9835210396840735816e-16
ra226_1a;31557600.0;Hg-206;5.5702917115604963006e-18
ra226_1a;31557600.0;Rn-218;1.3857624515499640697e-19
ra226_100a;3155760000.0;Ra-226;0.95760328069857364694
ra226_100a;3155760000.0;Pb-206;0.029309668640551293426
ra226_100a;3155760000.0;Pb-210;0.012853603415021606168
ra226_100a;3155760000.0;Po-210;0.00021921845971444918963
ra226_100a;3155760000.0;Bi-210;7.9463985621996355757e-6
ra226_100a;3155760000.0;Rn-222;6.2652636875200300683e-6
ra226_100a;3155760000.0;Pb-214;3.0490441236365920783e-8
ra226_100a;3155760000.0;Bi-214;2.2644815291269352483e-8
ra226_100a;3155760000.0;Po-218;3.5275848013852318878e-9
ra226_100a;3155760000.0;Tl-210;3.1065500422444748231e-13
ra226_100a;3155760000.0;Tl-206;6.1907054024021873277e-15
ra226_100a;3155760000.0;At-218;5.689652905629077264e-15
ra226_100a;3155760000.0;Po-214;3.1153790472381156427e-15
ra226_100a;3155760000.0;Hg-206;1.7046310872736629682e-16
ra226_100a;3155760000.0;Rn-218;1.32758567798103828e-19
