# decaysolver_convergence : lambda = (1,2,3,0) s^-1, T = 4 s, N0 = (1,0,0,0)
# oracle : verification/V2_order_of_accuracy/oracle_lambda123.csv
# plancher d'arrondi : 1e-12 ; tolerance sur l'ordre : +-0.1 ; raffinements consecutifs requis : 4
scheme;order;k;n_steps;h;E_inf;E_2;p_inf;p_2
euler-explicit;1;2;4;1.000000e+00;1.398235e+01;1.908253e+01;8.511;8.748
euler-explicit;1;3;8;5.000000e-01;3.832167e-02;4.439651e-02;0.680;0.684
euler-explicit;1;4;16;2.500000e-01;2.392466e-02;2.762946e-02;0.945;0.945
euler-explicit;1;5;32;1.250000e-01;1.242823e-02;1.435463e-02;0.980;0.980
euler-explicit;1;6;64;6.250000e-02;6.301748e-03;7.279284e-03;0.992;0.991
euler-explicit;1;7;128;3.125000e-02;3.169486e-03;3.661372e-03;0.996;0.996
euler-explicit;1;8;256;1.562500e-02;1.589007e-03;1.835675e-03;0.998;0.998
euler-explicit;1;9;512;7.812500e-03;7.955224e-04;9.190309e-04;0.999;0.999
euler-explicit;1;10;1024;3.906250e-03;3.980101e-04;4.598073e-04;1.000;1.000
euler-explicit;1;11;2048;1.953125e-03;1.990666e-04;2.299758e-04;1.000;1.000
euler-explicit;1;12;4096;9.765625e-04;9.954857e-05;1.150058e-04;1.000;1.000
euler-explicit;1;13;8192;4.882812e-04;4.977809e-05;5.750737e-05;1.000;1.000
euler-explicit;1;14;16384;2.441406e-04;2.489000e-05;2.875480e-05;1.000;1.000
euler-explicit;1;15;32768;1.220703e-04;1.244524e-05;1.437768e-05;1.000;1.000
euler-explicit;1;16;65536;6.103516e-05;6.222678e-06;7.188910e-06;;
# euler-explicit : ordre theorique 1, suite valide L_inf = 12 (depuis k=4), L2 = 12 (depuis k=4) -> OK
euler-implicit;1;2;4;1.000000e+00;1.004225e-01;1.168383e-01;0.948;0.955
euler-implicit;1;3;8;5.000000e-01;5.204526e-02;6.027237e-02;0.998;1.000
euler-implicit;1;4;16;2.500000e-01;2.605774e-02;3.013100e-02;1.010;1.011
euler-implicit;1;5;32;1.250000e-01;1.293543e-02;1.494958e-02;1.009;1.009
euler-implicit;1;6;64;6.250000e-02;6.426828e-03;7.426011e-03;1.006;1.006
euler-implicit;1;7;128;3.125000e-02;3.200648e-03;3.697926e-03;1.003;1.003
euler-implicit;1;8;256;1.562500e-02;1.596791e-03;1.844805e-03;1.002;1.002
euler-implicit;1;9;512;7.812500e-03;7.974679e-04;9.213131e-04;1.001;1.001
euler-implicit;1;10;1024;3.906250e-03;3.984964e-04;4.603778e-04;1.000;1.000
euler-implicit;1;11;2048;1.953125e-03;1.991881e-04;2.301184e-04;1.000;1.000
euler-implicit;1;12;4096;9.765625e-04;9.957896e-05;1.150415e-04;1.000;1.000
euler-implicit;1;13;8192;4.882812e-04;4.978569e-05;5.751629e-05;1.000;1.000
euler-implicit;1;14;16384;2.441406e-04;2.489190e-05;2.875703e-05;1.000;1.000
euler-implicit;1;15;32768;1.220703e-04;1.244571e-05;1.437824e-05;1.000;1.000
euler-implicit;1;16;65536;6.103516e-05;6.222797e-06;7.189049e-06;;
# euler-implicit : ordre theorique 1, suite valide L_inf = 14 (depuis k=2), L2 = 14 (depuis k=2) -> OK
crank-nicolson;2;2;4;1.000000e+00;1.530964e-02;1.776236e-02;1.931;1.936
crank-nicolson;2;3;8;5.000000e-01;4.015267e-03;4.643419e-03;2.025;2.025
crank-nicolson;2;4;16;2.500000e-01;9.862824e-04;1.141228e-03;2.006;2.006
crank-nicolson;2;5;32;1.250000e-01;2.454768e-04;2.840857e-04;2.002;2.002
crank-nicolson;2;6;64;6.250000e-02;6.130098e-05;7.094533e-05;2.000;2.000
crank-nicolson;2;7;128;3.125000e-02;1.532099e-05;1.773158e-05;2.000;2.000
crank-nicolson;2;8;256;1.562500e-02;3.829980e-06;4.432598e-06;2.000;2.000
crank-nicolson;2;9;512;7.812500e-03;9.574784e-07;1.108131e-06;2.000;2.000
crank-nicolson;2;10;1024;3.906250e-03;2.393686e-07;2.770316e-07;2.000;2.000
crank-nicolson;2;11;2048;1.953125e-03;5.984208e-08;6.925782e-08;2.000;2.000
crank-nicolson;2;12;4096;9.765625e-04;1.496052e-08;1.731445e-08;2.000;2.000
crank-nicolson;2;13;8192;4.882812e-04;3.740129e-09;4.328613e-09;2.000;2.000
crank-nicolson;2;14;16384;2.441406e-04;9.350327e-10;1.082154e-09;2.000;2.000
crank-nicolson;2;15;32768;1.220703e-04;2.337582e-10;2.705381e-10;2.000;2.000
crank-nicolson;2;16;65536;6.103516e-05;5.845713e-11;6.764967e-11;;
# crank-nicolson : ordre theorique 2, suite valide L_inf = 14 (depuis k=2), L2 = 14 (depuis k=2) -> OK
rk4;4;2;4;1.000000e+00;3.551896e+00;5.016727e+00;15.900;16.082
rk4;4;3;8;5.000000e-01;5.810140e-05;7.231004e-05;4.305;4.090
rk4;4;4;16;2.500000e-01;2.939254e-06;4.245107e-06;3.952;4.026
rk4;4;5;32;1.250000e-01;1.899497e-07;2.605674e-07;3.967;4.014
rk4;4;6;64;6.250000e-02;1.214970e-08;1.612569e-08;3.988;4.008
rk4;4;7;128;3.125000e-02;7.656150e-10;1.002448e-09;3.995;4.004
rk4;4;8;256;1.562500e-02;4.801237e-11;6.247645e-11;3.998;4.002
